Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081045.337520, 250.500, 4.903, 1228.302
1460081045.337720, 252.500, 4.903, 1238.109
1460081045.337920, 248.500, 4.903, 1218.495
1460081045.338120, 248.500, 4.903, 1218.495
1460081045.338320, 247.000, 4.903, 1211.140
1460081045.338520, 244.000, 4.903, 1196.430
1460081045.338720, 242.500, 4.903, 1189.075
1460081045.338920, 243.000, 4.903, 1191.526
1460081045.339120, 244.000, 4.903, 1196.430
1460081045.339320, 245.500, 4.903, 1203.785
1460081045.339520, 243.000, 4.903, 1191.526
1460081045.339720, 242.500, 4.903, 1189.075
1460081045.339920, 242.000, 4.903, 1186.623
1460081045.340120, 242.000, 4.903, 1186.623
1460081045.340320, 242.000, 4.903, 1186.623
1460081045.340520, 242.000, 4.903, 1186.623
1460081045.340720, 242.000, 4.903, 1186.623
1460081045.340920, 241.500, 4.903, 1184.171
1460081045.341120, 244.000, 4.903, 1196.430
1460081045.341320, 243.500, 4.903, 1193.978
1460081045.341520, 245.000, 4.903, 1201.333
1460081045.341720, 243.500, 4.903, 1193.978
1460081045.341920, 242.500, 4.903, 1189.075
1460081045.342120, 242.000, 4.903, 1186.623
1460081045.342320, 242.000, 4.903, 1186.623
1460081045.342520, 242.000, 4.903, 1186.623
1460081045.342720, 242.000, 4.903, 1186.623
1460081045.342920, 241.500, 4.903, 1184.171
1460081045.343120, 242.500, 4.903, 1189.075
1460081045.343320, 243.000, 4.903, 1191.526
1460081045.343520, 242.500, 4.903, 1189.075
1460081045.343720, 242.000, 4.903, 1186.623
1460081045.343920, 242.000, 4.903, 1186.623
1460081045.344120, 242.000, 4.903, 1186.623
1460081045.344320, 242.000, 4.903, 1186.623
1460081045.344520, 242.000, 4.903, 1186.623
1460081045.344720, 242.000, 4.903, 1186.623
1460081045.344920, 246.000, 4.903, 1206.236
1460081045.345120, 238.500, 4.903, 1169.461
1460081045.345320, 242.000, 4.903, 1186.623
1460081045.345520, 242.000, 4.903, 1186.623
1460081045.345720, 242.000, 4.903, 1186.623
1460081045.345920, 242.000, 4.903, 1186.623
1460081045.346120, 242.000, 4.903, 1186.623
1460081045.346320, 242.000, 4.903, 1186.623
1460081045.346520, 242.000, 4.903, 1186.623
1460081045.346720, 242.000, 4.903, 1186.623
1460081045.346920, 242.500, 4.903, 1189.075
1460081045.347120, 243.500, 4.903, 1193.978
1460081045.347320, 245.000, 4.903, 1201.333
1460081045.347520, 243.500, 4.903, 1193.978
1460081045.347720, 242.000, 4.903, 1186.623
1460081045.347920, 242.000, 4.903, 1186.623
1460081045.348120, 242.000, 4.903, 1186.623
1460081045.348320, 241.500, 4.903, 1184.171
1460081045.348520, 242.500, 4.903, 1189.075
1460081045.348720, 242.000, 4.903, 1186.623
1460081045.348920, 241.500, 4.903, 1184.171
1460081045.349120, 244.500, 4.903, 1198.881
1460081045.349320, 243.500, 4.903, 1193.978
1460081045.349520, 245.500, 4.903, 1203.785
1460081045.349720, 243.000, 4.903, 1191.526
1460081045.349920, 242.500, 4.903, 1189.075
1460081045.350120, 242.500, 4.903, 1189.075
1460081045.350320, 242.500, 4.903, 1189.075
1460081045.350520, 242.000, 4.903, 1186.623
1460081045.350720, 240.500, 4.903, 1179.268
1460081045.350920, 241.500, 4.903, 1184.171
1460081045.351120, 241.000, 4.903, 1181.719
1460081045.351320, 240.500, 4.903, 1179.268
1460081045.351520, 240.500, 4.903, 1179.268
1460081045.351720, 241.000, 4.903, 1181.719
1460081045.351920, 241.000, 4.903, 1181.719
1460081045.352120, 241.000, 4.903, 1181.719
1460081045.352320, 240.500, 4.903, 1179.268
1460081045.352520, 240.500, 4.903, 1179.268
1460081045.352720, 240.500, 4.903, 1179.268
1460081045.352920, 240.500, 4.903, 1179.268
1460081045.353120, 241.500, 4.903, 1184.171
1460081045.353320, 242.000, 4.903, 1186.623
1460081045.353520, 242.000, 4.903, 1186.623
1460081045.353720, 242.000, 4.903, 1186.623
1460081045.353920, 241.500, 4.903, 1184.171
1460081045.354120, 242.000, 4.903, 1186.623
1460081045.354320, 249.000, 4.903, 1220.947
1460081045.354520, 248.000, 4.903, 1216.043
1460081045.354720, 247.500, 4.903, 1213.592
1460081045.354920, 249.500, 4.903, 1223.398
1460081045.355120, 253.500, 4.903, 1243.012
1460081045.355320, 256.000, 4.903, 1255.270
1460081045.355520, 251.000, 4.903, 1230.753
1460081045.355720, 253.000, 4.903, 1240.560
1460081045.355920, 249.000, 4.903, 1220.947
1460081045.356120, 247.500, 4.903, 1213.592
1460081045.356320, 247.500, 4.903, 1213.592
1460081045.356520, 244.000, 4.903, 1196.430
1460081045.356720, 243.500, 4.903, 1193.978
1460081045.356920, 242.000, 4.903, 1186.623
1460081045.357120, 243.500, 4.903, 1193.978
1460081045.357320, 244.500, 4.903, 1198.881
1460081045.357520, 245.000, 4.903, 1201.333
1460081045.357720, 243.500, 4.903, 1193.978
1460081045.357920, 242.500, 4.903, 1189.075
1460081045.358120, 242.000, 4.903, 1186.623
1460081045.358320, 242.500, 4.903, 1189.075
1460081045.358520, 242.500, 4.903, 1189.075
1460081045.358720, 242.000, 4.903, 1186.623
1460081045.358920, 242.000, 4.903, 1186.623
1460081045.359120, 242.000, 4.903, 1186.623
1460081045.359320, 241.500, 4.903, 1184.171
