Time (s), Avg Current (mA), Avg Voltage (V), Avg Power (mW)
1460081125.670990, 284.500, 4.872, 1386.056
1460081125.671190, 284.000, 4.872, 1383.620
1460081125.671390, 284.500, 4.872, 1386.056
1460081125.671590, 283.500, 4.872, 1381.184
1460081125.671790, 283.500, 4.872, 1381.184
1460081125.671990, 284.000, 4.872, 1383.620
1460081125.672190, 282.500, 4.872, 1376.312
1460081125.672390, 282.500, 4.872, 1376.312
1460081125.672590, 283.000, 4.872, 1378.748
1460081125.672790, 284.000, 4.872, 1383.620
1460081125.672990, 282.500, 4.872, 1376.312
1460081125.673190, 282.500, 4.872, 1376.312
1460081125.673390, 283.500, 4.872, 1381.184
1460081125.673590, 284.500, 4.872, 1386.056
1460081125.673790, 286.500, 4.872, 1395.799
1460081125.673990, 283.500, 4.872, 1381.184
1460081125.674190, 284.500, 4.872, 1386.056
1460081125.674390, 285.000, 4.872, 1388.492
1460081125.674590, 285.000, 4.872, 1388.492
1460081125.674790, 284.500, 4.872, 1386.056
1460081125.674990, 284.000, 4.872, 1383.620
1460081125.675190, 283.500, 4.872, 1381.184
1460081125.675390, 283.500, 4.872, 1381.184
1460081125.675590, 285.000, 4.872, 1388.492
1460081125.675790, 285.000, 4.872, 1388.492
1460081125.675990, 290.500, 4.872, 1415.287
1460081125.676190, 292.000, 4.872, 1422.595
1460081125.676390, 289.500, 4.872, 1410.415
1460081125.676590, 290.500, 4.872, 1415.287
1460081125.676790, 294.000, 4.872, 1432.339
1460081125.676990, 295.000, 4.872, 1437.211
1460081125.677190, 293.000, 4.872, 1427.467
1460081125.677390, 294.000, 4.872, 1432.339
1460081125.677590, 293.000, 4.872, 1427.467
1460081125.677790, 290.000, 4.872, 1412.851
1460081125.677990, 295.000, 4.872, 1437.211
1460081125.678190, 282.000, 4.872, 1373.876
1460081125.678390, 284.500, 4.872, 1386.056
1460081125.678590, 284.000, 4.872, 1383.620
1460081125.678790, 284.000, 4.872, 1383.620
1460081125.678990, 284.000, 4.872, 1383.620
1460081125.679190, 284.000, 4.872, 1383.620
1460081125.679390, 284.000, 4.872, 1383.620
1460081125.679590, 284.000, 4.872, 1383.620
1460081125.679790, 284.000, 4.872, 1383.620
1460081125.679990, 283.000, 4.872, 1378.748
1460081125.680190, 283.500, 4.872, 1381.184
1460081125.680390, 284.500, 4.872, 1386.056
1460081125.680590, 284.000, 4.872, 1383.620
1460081125.680790, 284.500, 4.872, 1386.056
1460081125.680990, 284.500, 4.872, 1386.056
1460081125.681190, 285.500, 4.872, 1390.927
1460081125.681390, 284.500, 4.872, 1386.056
1460081125.681590, 286.000, 4.872, 1393.363
1460081125.681790, 286.500, 4.872, 1395.799
1460081125.681990, 285.000, 4.872, 1388.492
1460081125.682190, 285.000, 4.872, 1388.492
1460081125.682390, 286.000, 4.872, 1393.363
1460081125.682590, 285.500, 4.872, 1390.927
